FIELD,M1,M2,M3,M4,M5,W1,W2,W3,W4,W5
F1,,STANFORD v COLORADO ST,,UNC v CARLETON,,DARTMOUTH v DELAWARE,,DARTMOUTH v DELAWARE,,TEXAS v BC
F2,,,PITT v MICHIGAN,WASHINGTON v COLORADO ST,UNC v OREGON ST,NOTRE DAME v FLORIDA,STANFORD v COLORADO,,,
F3,,,UNCW v TEXAS A&M,,,BC v UNC,CARLETON v PITT,,VIRGINIA v UCLA,VIRGINIA v UCSD
F4,,,,,,CAL v UCONN,,,,OREGON v DELAWARE
F5,PITT v UCONN,UMASS v WASHINGTON,,,MINNESOTA v OREGON,,,TEXAS v UCONN,TUFTS v MICHIGAN,
F6,MICHIGAN v TEXAS A&M,CARLETON v AUBURN,,STANFORD v CAL POLY-SLO,UMASS v CAL POLY-SLO,,,CAL v UNC,,
F7,OREGON v BC,,MINNESOTA v VA TECH,,,,UCLA v MICHIGAN,,CARLETON v OHIO ST,STANFORD v OHIO ST
F8,WISCONSIN v VA TECH,,WISCONSIN v BC,,UNCW v UCONN,,TUFTS v UCSD,,COLORADO v PITT,
F9,,,,,,,,,,
F10,,,,,,,,,,
F11,,,,,,,,,,
F12,,,,,,,,,,
F13,,COLORADO v OREGON ST,,COLORADO v AUBURN,,,,OREGON v FLORIDA,,
